fundo_cnpj,data,pl,valor_cota,captacao_dia,resgate_dia,cotistas
03919474000120,2025-05-02,107456.83,103.8402225,0.0,0.0,3
03919474000120,2025-05-05,107491.89,103.87410251,0.0,0.0,3
03919474000120,2025-05-06,107526.97,103.90800185,0.0,0.0,3
03919474000120,2025-05-07,107562.09,103.94193983,0.0,0.0,3
03919474000120,2025-05-08,107597.23,103.97589715,0.0,0.0,3
03919474000120,2025-05-09,107635.81,104.01317869,0.0,0.0,3
03919474000120,2025-05-12,107672.72,104.04884643,0.0,0.0,3
03919474000120,2025-05-13,107709.65,104.0845335,0.0,0.0,3
03919474000120,2025-05-14,107746.61,104.12024956,0.0,0.0,3
03919474000120,2025-05-15,107783.61,104.15600427,0.0,0.0,3
03919474000120,2025-05-16,107820.63,104.19177831,0.0,0.0,3
03919474000120,2025-05-19,107857.68,104.22758134,0.0,0.0,3
03919474000120,2025-05-20,107894.76,104.26341337,0.0,0.0,3
03919474000120,2025-05-21,107931.88,104.29928404,0.0,0.0,3
03919474000120,2025-05-22,107969.02,104.33517404,0.0,0.0,3
03919474000120,2025-05-23,108006.19,104.37109304,0.0,0.0,3
03919474000120,2025-05-26,108043.39,104.40704102,0.0,0.0,3
03919474000120,2025-05-27,108080.62,104.44301799,0.0,0.0,3
03919474000120,2025-05-28,108117.88,104.47902396,0.0,0.0,3
03919474000120,2025-05-29,108155.17,104.51505891,0.0,0.0,3
03919474000120,2025-05-30,108192.48,104.55111319,0.0,0.0,3
03919474000120,2025-06-02,108229.83,104.58720612,0.0,0.0,3
03919474000120,2025-06-03,108267.21,104.62332805,0.0,0.0,3
03919474000120,2025-06-04,108304.62,104.65947896,0.0,0.0,3
03919474000120,2025-06-05,108342.05,104.69564921,0.0,0.0,3
03919474000120,2025-06-06,108379.28,104.73162618,0.0,0.0,3
03919474000120,2025-06-09,108417.28,104.76834724,0.0,0.0,3
03919474000120,2025-06-10,108455.32,104.80510695,0.0,0.0,3
03919474000120,2025-06-11,108493.38,104.84188599,0.0,0.0,3
03919474000120,2025-06-12,108531.48,104.87870368,0.0,0.0,3
03919474000120,2025-06-13,108569.6,104.9155407,0.0,0.0,3
03919474000120,2025-06-16,108607.75,104.95240671,0.0,0.0,3
03919474000120,2025-06-17,108645.94,104.98931137,0.0,0.0,3
03919474000120,2025-06-18,108684.15,105.02623536,0.0,0.0,3
03919474000120,2025-06-20,108722.4,105.063198,0.0,0.0,3
03919474000120,2025-06-23,108760.67,105.10017997,0.0,0.0,3
03919474000120,2025-06-24,108798.97,105.13719093,0.0,0.0,3
03919474000120,2025-06-25,108837.3,105.17423089,0.0,0.0,3
03919474000120,2025-06-26,108875.67,105.21130949,0.0,0.0,3
03919474000120,2025-06-27,108914.06,105.24840742,0.0,0.0,3
03919474000120,2025-06-30,108952.48,105.28553434,0.0,0.0,3
03919474000120,2025-07-01,108990.93,105.32269026,0.0,0.0,3
03919474000120,2025-07-02,109029.41,105.35987516,0.0,0.0,3
03919474000120,2025-07-03,109067.93,105.39709872,0.0,0.0,3
03919474000120,2025-07-04,109106.47,105.4343416,0.0,0.0,3
03919474000120,2025-07-07,109145.04,105.47161347,0.0,0.0,3
03919474000120,2025-07-08,109238.61,105.56203425,0.0,0.0,3
03919474000120,2025-07-09,109277.28,105.59940275,0.0,0.0,3
03919474000120,2025-07-10,109315.97,105.63679059,0.0,0.0,3
03919474000120,2025-07-11,109354.69,105.67420741,0.0,0.0,3
03919474000120,2025-07-14,109393.44,105.71165323,0.0,0.0,3
03919474000120,2025-07-15,109432.22,105.74912803,0.0,0.0,3
03919474000120,2025-07-16,109471.04,105.78664149,0.0,0.0,3
03919474000120,2025-07-17,109509.88,105.82417428,0.0,0.0,3
